[2025-04-10 11:05:22.893] [         ILogger.hpp:25  ] info - Application Started
[2025-04-10 11:05:23.034] [         ILogger.hpp:15  ] trace - SDL Window created successfully
[2025-04-10 11:05:23.041] [         ILogger.hpp:15  ] trace - Instance Version: 0.1.4.309
[2025-04-10 11:05:23.106] [         ILogger.hpp:15  ] trace - Instance enabled layer: VK_LAYER_KHRONOS_validation
[2025-04-10 11:05:23.106] [         ILogger.hpp:15  ] trace - Instance enabled layer: VK_LAYER_KHRONOS_synchronization2
[2025-04-10 11:05:23.106] [         ILogger.hpp:15  ] trace - Instance enabled extension: VK_KHR_surface
[2025-04-10 11:05:23.106] [         ILogger.hpp:15  ] trace - Instance enabled extension: VK_KHR_xlib_surface
[2025-04-10 11:05:23.106] [         ILogger.hpp:20  ] debug - Instance Created
[2025-04-10 11:05:23.107] [         ILogger.hpp:20  ] debug - Physical Device Selected: NVIDIA GeForce RTX 2080 Ti
[2025-04-10 11:05:23.107] [         ILogger.hpp:20  ] debug - Surface Created
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Current Surface Info:
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Image Count: 2~8
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Array Layer: 1~1
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Transforms
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Usage Flags
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support CompositeAlpha { Opaque }
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Extent: 1400x800~1400x800
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Format: B8G8R8A8Unorm
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Format: B8G8R8A8Srgb
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Present Mode: Fifo
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Present Mode: FifoRelaxed
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Support Present Mode: Immediate
[2025-04-10 11:05:23.114] [         ILogger.hpp:20  ] debug - Current Format: B8G8R8A8Srgb
[2025-04-10 11:05:23.114] [         ILogger.hpp:20  ] debug - Current Color Space: SrgbNonlinear
[2025-04-10 11:05:23.114] [         ILogger.hpp:20  ] debug - Current Present Mode: Fifo
[2025-04-10 11:05:23.114] [         ILogger.hpp:20  ] debug - Current Extent: 1400x800
[2025-04-10 11:05:23.114] [         ILogger.hpp:20  ] debug - Current Image Count: 2
[2025-04-10 11:05:23.114] [         ILogger.hpp:20  ] debug - Current Image Array Layer: 1
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Queue Family Index: 0 Supports Graphics. Supports Queue Index:0~15
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Queue Family Index: 0 Supports Presentation. Supports Queue Index:0~15
[2025-04-10 11:05:23.114] [         ILogger.hpp:15  ] trace - Queue Family Index: 0 Supports Transfer. Supports Queue Index:0~15
[2025-04-10 11:05:23.281] [         ILogger.hpp:15  ] trace - Device enabled extension: VK_KHR_swapchain
[2025-04-10 11:05:23.281] [         ILogger.hpp:20  ] debug - Device Created
[2025-04-10 11:05:23.281] [         ILogger.hpp:20  ] debug - Queues Getted
[2025-04-10 11:05:23.281] [         ILogger.hpp:20  ] debug - VMA Allocator Created
[2025-04-10 11:05:23.445] [         ILogger.hpp:20  ] debug - Swapchain Created
[2025-04-10 11:05:23.445] [         ILogger.hpp:20  ] debug - Swapchain Images Created
[2025-04-10 11:05:23.445] [         ILogger.hpp:15  ] trace - Swapchain Image Count: 2
[2025-04-10 11:05:23.445] [         ILogger.hpp:20  ] debug - Swapchain Image Views Created
[2025-04-10 11:05:23.445] [         ILogger.hpp:15  ] trace - Swapchain Image Count: 2
[2025-04-10 11:05:23.445] [         ILogger.hpp:20  ] debug - Context Created
[2025-04-10 11:05:23.446] [         ILogger.hpp:20  ] debug - Translucency pipeline layout created successfully
[2025-04-10 11:05:23.446] [         ILogger.hpp:20  ] debug - Translucency render pass created successfully
[2025-04-10 11:05:23.446] [    
